,precision,recall,f1-score,support
abnormal,0.9733449339555486,0.998377413597274,0.9857022708158115,12326.0
normal,0.9944320712694877,0.9137886927602967,0.9524063458205573,3909.0
accuracy,0.9780104712041885,0.9780104712041885,0.9780104712041885,0.9780104712041885
macro avg,0.9838885026125181,0.9560830531787854,0.9690543083181844,16235.0
weighted avg,0.9784222126595946,0.9780104712041885,0.9776854078157222,16235.0
