,precision,recall,f1-score,support
abnormal,0.9889322916666666,0.9858834982962843,0.9874055415617128,12326.0
normal,0.9559158854826451,0.9652084932207726,0.960539714867617,3909.0
accuracy,0.9809054511857099,0.9809054511857099,0.9809054511857099,0.9809054511857099
macro avg,0.9724240885746558,0.9755459957585284,0.9739726282146649,16235.0
weighted avg,0.9809827301161067,0.9809054511857099,0.9809368925597282,16235.0
