,precision,recall,f1-score,support
abnormal,0.9887776521879541,0.9935907837092325,0.9911783748786016,12326.0
normal,0.9794751883606131,0.9644410335124073,0.9718999742201598,3909.0
accuracy,0.9865722205112412,0.9865722205112412,0.9865722205112412,0.9865722205112412
macro avg,0.9841264202742837,0.9790159086108199,0.9815391745493807,16235.0
weighted avg,0.9865378412177614,0.9865722205112412,0.9865365967342316,16235.0
